Id,pr_score
573153,4.75E-06
3908822,1.96E-05
5417194,4.45E-06
2841618,1.03E-05
348785,2.56E-05
2453002,5.14E-06
4338280,6.29E-06
8260692,2.96E-05
1079070,4.45E-06
445221,6.34E-06
828193,6.34E-06
2378943,4.45E-06
4763083,1.49E-05
2181873,1.03E-05
2084315,2.24E-05
2297440,4.45E-06
4309039,4.45E-06
3030502,7.35E-06
494222,1.09E-05
590278,7.41E-05
3770235,0.000174812
1397319,0.000430334
7148391,2.46E-05
2851632,5.48E-05
644978,9.29E-06
3930052,2.88E-05
4670037,9.57E-06
389289,1.31E-05
4688227,4.75E-06
1477831,2.96E-05
2129173,3.71E-05
5655322,8.00E-05
4033215,6.53E-05
179030,4.45E-06
656963,8.93E-06
364746,4.45E-06
1113766,2.39E-05
1641251,4.45E-06
371637,2.41E-05
1010399,1.60E-05
888641,1.10E-05
4121519,4.45E-06
503180,9.22E-06
1681414,4.04E-05
2473883,1.14E-05
4486479,6.20E-06
728184,4.17E-05
3759705,9.63E-06
804023,4.45E-06
2526710,1.96E-05
2859018,1.82E-05
415200,8.32E-06
2086,1.12E-05
1568270,2.13E-05
2901571,5.65E-06
5510326,7.73E-06
998684,4.45E-06
1806462,4.45E-06
4751134,0.000118267
1618812,4.45E-06
4881213,4.45E-06
331768,5.48E-05
461807,7.57E-05
1422604,5.80E-06
6479112,9.34E-06
508236,6.40E-06
348496,9.07E-06
843900,8.96E-06
8596813,4.45E-06
2171052,8.46E-05
6744223,2.01E-05
1757321,1.74E-05
1110941,6.00E-05
3752185,1.13E-05
1578347,3.81E-05
6099327,5.43E-05
5238461,2.11E-05
2185825,1.90E-05
471607,5.97E-05
3004669,8.02E-06
1698280,4.45E-06
154603,0.000100868
8583379,4.45E-06
3878932,1.83E-05
996120,9.07E-06
2380085,2.96E-05
5031236,2.96E-05
6804958,0.00010745
802799,4.45E-06
2023432,4.45E-06
5692151,2.96E-05
768804,1.13E-05
609251,1.90E-05
839434,9.55E-05
92259,8.42E-06
1848156,1.23E-05
1095637,8.66E-06
13780,3.37E-05
1575353,0.000372105
3083093,0.000120386
248129,4.45E-05
3191,9.84E-05
1451184,3.10E-05
9778169,4.45E-06
3013823,4.45E-06
2511828,4.74E-06
9054699,2.96E-05
2091925,4.45E-06
5447994,2.28E-05
701510,7.25E-06
75525,0.000328757
534369,1.28E-05
1034944,5.65E-06
168371,2.52E-05
2412957,4.45E-06
365261,5.58E-05
4270557,3.72E-05
8488408,4.45E-06
8017813,8.23E-06
1376679,2.96E-05
292022,1.65E-05
2298211,9.18E-05
4243935,4.45E-06
4728655,3.68E-05
5532307,2.96E-05
4932334,9.49E-06
962672,7.73E-06
1627479,8.58E-05
6083788,2.96E-05
5225844,7.61E-05
3834562,7.73E-06
3110035,7.73E-06
829313,6.59E-05
5478538,5.95E-06
476412,8.29E-06
2078908,4.45E-06
1559258,4.45E-06
1528421,2.96E-05
5180442,4.45E-06
3973081,0.00018868
5710867,7.73E-06
1416438,1.87E-05
6108444,9.11E-06
284708,2.96E-05
314661,8.82E-06
3810940,1.76E-05
2125340,4.45E-06
195486,7.73E-06
2858970,2.96E-05
2410268,5.71E-06
3466755,2.19E-05
1575779,4.45E-06
1065489,5.81E-05
398242,0.000378037
2649380,4.45E-06
33,4.45E-06
1609719,7.73E-06
2131576,3.89E-05
1108442,1.37E-05
6023296,9.70E-05
2174484,6.64E-06
5485311,2.96E-05
